TransactionID,CustomerID,AccountID,Date,TransactionType,Amount,Channel,EventProcessedUtcTime,PartitionId,EventEnqueuedUtcTime,TransactionDate,EventTime,FraudFlag,TransactionCategory,BankingMode,Year,Quarter,Month,Day,TransactionHour,WeekendFlag
116572,223,59,2026-06-25 07:21:35,WITHDRAWAL,1185.42,Mobile App,2026-06-25T07:21:35.699Z,3,2026-06-25T07:21:35.699Z,2026-06-25T07:21:35.000Z,2026-06-25T07:21:35.699Z,,,,,,,,,
134970,27,1389,2026-06-25 07:19:01,DEPOSIT,24095.5,Mobile App,2026-06-25T07:19:01.966Z,3,2026-06-25T07:19:01.966Z,2026-06-25T07:19:01.000Z,2026-06-25T07:19:01.966Z,,,,,,,,,
150063,837,717,2026-06-25 07:20:27,WITHDRAWAL,31217.91,ATM,2026-06-25T07:20:27.521Z,3,2026-06-25T07:20:27.521Z,2026-06-25T07:20:27.000Z,2026-06-25T07:20:27.521Z,,,,,,,,,
201357,114,538,2026-06-25 07:22:34,TRANSFER,35108.63,UPI,2026-06-25T07:22:34.377Z,1,2026-06-25T07:22:34.377Z,2026-06-25T07:22:34.000Z,2026-06-25T07:22:34.377Z,,,,,,,,,
205609,540,712,2026-06-25 07:20:36,WITHDRAWAL,38983.03,Internet Banking,2026-06-25T07:20:36.665Z,1,2026-06-25T07:20:36.665Z,2026-06-25T07:20:36.000Z,2026-06-25T07:20:36.665Z,,,,,,,,,
245403,186,32,2026-06-25 07:21:53,BILL PAYMENT,31754.81,Internet Banking,2026-06-25T07:21:53.904Z,2,2026-06-25T07:21:53.904Z,2026-06-25T07:21:53.000Z,2026-06-25T07:21:53.904Z,,,,,,,,,
452866,324,1355,2026-06-25 07:20:00,DEPOSIT,43232.17,UPI,2026-06-25T07:20:00.488Z,3,2026-06-25T07:20:00.488Z,2026-06-25T07:20:00.000Z,2026-06-25T07:20:00.488Z,,,,,,,,,
511551,289,892,2026-06-25 07:21:26,WITHDRAWAL,29149.87,Internet Banking,2026-06-25T07:21:26.607Z,2,2026-06-25T07:21:26.607Z,2026-06-25T07:21:26.000Z,2026-06-25T07:21:26.607Z,,,,,,,,,
608351,702,1190,2026-06-25 07:22:12,WITHDRAWAL,44973.83,Branch,2026-06-25T07:22:12.237Z,1,2026-06-25T07:22:12.237Z,2026-06-25T07:22:12.000Z,2026-06-25T07:22:12.237Z,,,,,,,,,
663099,83,1122,2026-06-25 07:23:30,TRANSFER,48731.74,Branch,2026-06-25T07:23:30.436Z,3,2026-06-25T07:23:30.436Z,2026-06-25T07:23:30.000Z,2026-06-25T07:23:30.436Z,,,,,,,,,
789771,213,1034,2026-06-25 07:20:49,BILL PAYMENT,48287.7,ATM,2026-06-25T07:20:49.518Z,0,2026-06-25T07:20:49.518Z,2026-06-25T07:20:49.000Z,2026-06-25T07:20:49.518Z,,,,,,,,,
812420,169,305,2026-06-25 07:19:41,BILL PAYMENT,17410.76,Internet Banking,2026-06-25T07:19:41.987Z,2,2026-06-25T07:19:41.987Z,2026-06-25T07:19:41.000Z,2026-06-25T07:19:41.987Z,,,,,,,,,
814566,38,1078,2026-06-25 07:21:17,DEPOSIT,20818.94,Mobile App,2026-06-25T07:21:17.409Z,3,2026-06-25T07:21:17.409Z,2026-06-25T07:21:17.000Z,2026-06-25T07:21:17.409Z,,,,,,,,,
847831,374,379,2026-06-25 07:22:02,WITHDRAWAL,33061.95,ATM,2026-06-25T07:22:02.940Z,1,2026-06-25T07:22:02.940Z,2026-06-25T07:22:02.000Z,2026-06-25T07:22:02.940Z,,,,,,,,,
864780,337,550,2026-06-25 07:20:18,TRANSFER,49834.35,Branch,2026-06-25T07:20:18.466Z,1,2026-06-25T07:20:18.466Z,2026-06-25T07:20:18.000Z,2026-06-25T07:20:18.466Z,,,,,,,,,
876658,401,586,2026-06-25 07:23:02,BILL PAYMENT,45081.53,Branch,2026-06-25T07:23:02.457Z,3,2026-06-25T07:23:02.457Z,2026-06-25T07:23:02.000Z,2026-06-25T07:23:02.457Z,,,,,,,,,
922239,739,562,2026-06-25 07:22:24,WITHDRAWAL,12472,UPI,2026-06-25T07:22:24.980Z,3,2026-06-25T07:22:24.980Z,2026-06-25T07:22:24.000Z,2026-06-25T07:22:24.980Z,,,,,,,,,
